ISIN,kiid_url,n_pages,strategy,fallback,rows_extracted,cat1,cat2a,cat2b,has_entry,has_exit,has_oc,has_perf,val_entry,val_exit,val_oc,val_perf,value_format,verdict,failure_reason,duration_ms
DE0005152441,https://www.servicios.deutsche-bank.es/documentacionfondos/getDocumento?codDoc=DE0005152441&idioma=ES&codSus=KIID&codCont=NA,3,pdfplumber,0,22,0,2,0,1,1,0,0,Hasta 500 EUR,0 EUR,,,EUR,WARN_EUR_ONLY,valores_solo_EUR,1465
DE0005152482,https://www.servicios.deutsche-bank.es/documentacionfondos/getDocumento?codDoc=DE0005152482&idioma=ES&codSus=KIID&codCont=NA,3,pdfplumber,0,23,0,1,0,1,1,0,0,Hasta 500 EUR,0 EUR,,,EUR,WARN_EUR_ONLY,valores_solo_EUR,1266
DE0005318406,https://www.servicios.deutsche-bank.es/documentacionfondos/getDocumento?codDoc=DE0005318406&idioma=ES&codSus=KIID&codCont=NA,3,pdfplumber,0,23,0,1,0,1,1,0,0,Hasta 300 EUR,0 EUR,,,EUR,WARN_EUR_ONLY,valores_solo_EUR,1267
DE0008474024,https://www.servicios.deutsche-bank.es/documentacionfondos/getDocumento?codDoc=DE0008474024&idioma=ES&codSus=KIID&codCont=NA,3,pdfplumber,0,22,0,2,0,1,1,0,0,Hasta 500 EUR,0 EUR,,,EUR,WARN_EUR_ONLY,valores_solo_EUR,1361
DE0008474149,https://www.servicios.deutsche-bank.es/documentacionfondos/getDocumento?codDoc=DE0008474149&idioma=ES&codSus=KIID&codCont=NA,3,pdfplumber,0,22,0,1,0,1,1,0,0,0 EUR,0 EUR,,,EUR,WARN_EUR_ONLY,valores_solo_EUR,1259
DE0008474263,https://www.servicios.deutsche-bank.es/documentacionfondos/getDocumento?codDoc=DE0008474263&idioma=ES&codSus=KIID&codCont=NA,3,pdfplumber,0,23,0,1,0,1,1,0,0,Hasta 300 EUR,0 EUR,,,EUR,WARN_EUR_ONLY,valores_solo_EUR,1272
DE0008476532,https://www.servicios.deutsche-bank.es/documentacionfondos/getDocumento?codDoc=DE0008476532&idioma=ES&codSus=KIID&codCont=NA,3,pdfplumber,0,22,0,1,0,1,1,0,0,Hasta 250 EUR,0 EUR,,,EUR,WARN_EUR_ONLY,valores_solo_EUR,1340
DE0008490897,https://www.servicios.deutsche-bank.es/documentacionfondos/getDocumento?codDoc=DE0008490897&idioma=ES&codSus=KIID&codCont=NA,3,pdfplumber,0,22,0,1,0,1,1,0,0,Hasta 500 EUR,0 EUR,,,EUR,WARN_EUR_ONLY,valores_solo_EUR,1307
DE0008490962,https://www.servicios.deutsche-bank.es/documentacionfondos/getDocumento?codDoc=DE0008490962&idioma=ES&codSus=KIID&codCont=NA,3,pdfplumber,0,22,0,2,0,1,1,0,0,Hasta 500 EUR,0 EUR,,,EUR,WARN_EUR_ONLY,valores_solo_EUR,1337
DE0009769703,https://www.servicios.deutsche-bank.es/documentacionfondos/getDocumento?codDoc=DE0009769703&idioma=ES&codSus=KIID&codCont=NA,3,pdfplumber,0,22,0,1,0,1,1,0,0,0 EUR,0 EUR,,,EUR,WARN_EUR_ONLY,valores_solo_EUR,1310
DE0009769729,https://www.servicios.deutsche-bank.es/documentacionfondos/getDocumento?codDoc=DE0009769729&idioma=ES&codSus=KIID&codCont=NA,3,pdfplumber,0,22,0,2,0,1,1,0,0,Hasta 400 EUR,0 EUR,,,EUR,WARN_EUR_ONLY,valores_solo_EUR,1376
DE0009769851,https://www.servicios.deutsche-bank.es/documentacionfondos/getDocumento?codDoc=DE0009769851&idioma=ES&codSus=KIID&codCont=NA,3,pdfplumber,0,22,0,1,0,1,1,0,0,0 EUR,0 EUR,,,EUR,WARN_EUR_ONLY,valores_solo_EUR,1247
DE0009769869,https://www.servicios.deutsche-bank.es/documentacionfondos/getDocumento?codDoc=DE0009769869&idioma=ES&codSus=KIID&codCont=NA,3,pdfplumber,0,22,0,2,0,1,1,0,0,Hasta 500 EUR,0 EUR,,,EUR,WARN_EUR_ONLY,valores_solo_EUR,1349
DE0009769976,https://www.servicios.deutsche-bank.es/documentacionfondos/getDocumento?codDoc=DE0009769976&idioma=ES&codSus=KIID&codCont=NA,3,pdfplumber,0,23,0,1,0,1,1,0,0,Hasta 500 EUR,0 EUR,,,EUR,WARN_EUR_ONLY,valores_solo_EUR,1308
DE0009773010,https://www.servicios.deutsche-bank.es/documentacionfondos/getDocumento?codDoc=DE0009773010&idioma=ES&codSus=KIID&codCont=NA,3,pdfplumber,0,23,0,1,0,1,1,0,0,0 EUR,0 EUR,,,EUR,WARN_EUR_ONLY,valores_solo_EUR,1366
DE0009848077,https://www.servicios.deutsche-bank.es/documentacionfondos/getDocumento?codDoc=DE0009848077&idioma=ES&codSus=KIID&codCont=NA,3,pdfplumber,0,23,0,1,0,1,1,0,0,0 EUR,0 EUR,,,EUR,WARN_EUR_ONLY,valores_solo_EUR,1254
DE0009848119,https://www.servicios.deutsche-bank.es/documentacionfondos/getDocumento?codDoc=DE0009848119&idioma=ES&codSus=KIID&codCont=NA,3,pdfplumber,0,23,0,1,0,1,1,0,0,Hasta 500 EUR,0 EUR,,,EUR,WARN_EUR_ONLY,valores_solo_EUR,1274
DE000DWS17J0,https://www.servicios.deutsche-bank.es/documentacionfondos/getDocumento?codDoc=DE000DWS17J0&idioma=ES&codSus=KIID&codCont=NA,3,pdfplumber,0,23,0,1,0,1,1,0,0,Hasta 500 EUR,0 EUR,,,EUR,WARN_EUR_ONLY,valores_solo_EUR,1293
DE000DWS18N0,https://www.servicios.deutsche-bank.es/documentacionfondos/getDocumento?codDoc=DE000DWS18N0&idioma=ES&codSus=KIID&codCont=NA,3,pdfplumber,0,23,0,1,0,1,1,0,0,Hasta 500 EUR,0 EUR,,,EUR,WARN_EUR_ONLY,valores_solo_EUR,1311
DE000DWS18Q3,https://www.servicios.deutsche-bank.es/documentacionfondos/getDocumento?codDoc=DE000DWS18Q3&idioma=ES&codSus=KIID&codCont=NA,3,pdfplumber,0,23,0,1,0,1,1,0,0,0 EUR,0 EUR,,,EUR,WARN_EUR_ONLY,valores_solo_EUR,1280
DE000DWS1U90,https://www.servicios.deutsche-bank.es/documentacionfondos/getDocumento?codDoc=DE000DWS1U90&idioma=ES&codSus=KIID&codCont=NA,3,pdfplumber,0,23,0,1,0,1,1,0,0,Hasta 500 EUR,0 EUR,,,EUR,WARN_EUR_ONLY,valores_solo_EUR,1290
DE000DWS1UL0,https://www.servicios.deutsche-bank.es/documentacionfondos/getDocumento?codDoc=DE000DWS1UL0&idioma=ES&codSus=KIID&codCont=NA,3,pdfplumber,0,22,0,1,0,1,1,0,0,Hasta 250 EUR,0 EUR,,,EUR,WARN_EUR_ONLY,valores_solo_EUR,1329
DE000DWS1UN6,https://www.servicios.deutsche-bank.es/documentacionfondos/getDocumento?codDoc=DE000DWS1UN6&idioma=ES&codSus=KIID&codCont=NA,3,pdfplumber,0,22,0,1,0,1,1,0,0,0 EUR,0 EUR,,,EUR,WARN_EUR_ONLY,valores_solo_EUR,1267
DE000DWS1VB9,https://www.servicios.deutsche-bank.es/documentacionfondos/getDocumento?codDoc=DE000DWS1VB9&idioma=ES&codSus=KIID&codCont=NA,3,pdfplumber,0,23,0,1,0,1,1,0,0,0 EUR,0 EUR,,,EUR,WARN_EUR_ONLY,valores_solo_EUR,1242
