BL-DLA-2-AUDIT — Auditoría de éxito del serializador DLA-2
Ejecutado: 2026-05-24 12:46:50
project_root: C:\desarrollo\fondos
CSV:          C:\desarrollo\fondos\proyecto1\db\dla2_serializer_audit.csv
Log:          C:\desarrollo\fondos\proyecto1\db\dla2_serializer_audit.log

======================================================================
  MODO descarga (BD + Excel maestro)
======================================================================
  Excel maestro                           : C:\data\fondos\in\GestoresDeFondosv1.xlsx
  ISINs a auditar (KIID_Class=1)          : 3204  [corpus completo]
  Throttle entre descargas (s)            : 0.3
  [1/3204] DE0005152441                   : WARN_EUR_ONLY  strat=pdfplumber fmt=EUR
  [2/3204] DE0005152482                   : WARN_EUR_ONLY  strat=pdfplumber fmt=EUR
  [3/3204] DE0005318406                   : WARN_EUR_ONLY  strat=pdfplumber fmt=EUR
  [4/3204] DE0008474024                   : WARN_EUR_ONLY  strat=pdfplumber fmt=EUR
  [5/3204] DE0008474149                   : WARN_EUR_ONLY  strat=pdfplumber fmt=EUR
  [6/3204] DE0008474263                   : WARN_EUR_ONLY  strat=pdfplumber fmt=EUR
  [7/3204] DE0008476532                   : WARN_EUR_ONLY  strat=pdfplumber fmt=EUR
  [8/3204] DE0008490897                   : WARN_EUR_ONLY  strat=pdfplumber fmt=EUR
  [9/3204] DE0008490962                   : WARN_EUR_ONLY  strat=pdfplumber fmt=EUR
  [10/3204] DE0009769703                  : WARN_EUR_ONLY  strat=pdfplumber fmt=EUR
  [11/3204] DE0009769729                  : WARN_EUR_ONLY  strat=pdfplumber fmt=EUR
  [12/3204] DE0009769851                  : WARN_EUR_ONLY  strat=pdfplumber fmt=EUR
  [13/3204] DE0009769869                  : WARN_EUR_ONLY  strat=pdfplumber fmt=EUR
  [14/3204] DE0009769976                  : WARN_EUR_ONLY  strat=pdfplumber fmt=EUR
  [15/3204] DE0009773010                  : WARN_EUR_ONLY  strat=pdfplumber fmt=EUR
  [16/3204] DE0009848077                  : WARN_EUR_ONLY  strat=pdfplumber fmt=EUR
  [17/3204] DE0009848119                  : WARN_EUR_ONLY  strat=pdfplumber fmt=EUR
  [18/3204] DE000DWS17J0                  : WARN_EUR_ONLY  strat=pdfplumber fmt=EUR
  [19/3204] DE000DWS18N0                  : WARN_EUR_ONLY  strat=pdfplumber fmt=EUR
  [20/3204] DE000DWS18Q3                  : WARN_EUR_ONLY  strat=pdfplumber fmt=EUR
  [21/3204] DE000DWS1U90                  : WARN_EUR_ONLY  strat=pdfplumber fmt=EUR
  [22/3204] DE000DWS1UL0                  : WARN_EUR_ONLY  strat=pdfplumber fmt=EUR
  [23/3204] DE000DWS1UN6                  : WARN_EUR_ONLY  strat=pdfplumber fmt=EUR
  [24/3204] DE000DWS1VB9                  : WARN_EUR_ONLY  strat=pdfplumber fmt=EUR
  [25/3204] DE000DWS22P7                  : WARN_EUR_ONLY  strat=pdfplumber fmt=EUR
  [26/3204] DE000DWS22Q5                  : WARN_EUR_ONLY  strat=pdfplumber fmt=EUR
  [27/3204] DE000DWS24G2                  : WARN_EUR_ONLY  strat=pdfplumber fmt=EUR
