ISIN,verdict,failure_reason,strategy,component,db_column,serializer_raw,serializer_norm,db_reference_value,comparable,quality_actual
DE0005152441,WARN_EUR_ONLY,valores_solo_EUR,pdfplumber,oc,Ongoing_Charge_Recurrent,,,0.03,REF_ONLY,LOW
DE0005152482,WARN_EUR_ONLY,valores_solo_EUR,pdfplumber,oc,Ongoing_Charge_Recurrent,,,0.024,REF_ONLY,LOW
DE0005318406,WARN_EUR_ONLY,valores_solo_EUR,pdfplumber,oc,Ongoing_Charge_Recurrent,,,0.019,REF_ONLY,LOW
DE0008474024,WARN_EUR_ONLY,valores_solo_EUR,pdfplumber,oc,Ongoing_Charge_Recurrent,,,0.027,REF_ONLY,LOW
DE0008474149,WARN_EUR_ONLY,valores_solo_EUR,pdfplumber,oc,Ongoing_Charge_Recurrent,,,0.018,REF_ONLY,LOW
DE0008474263,WARN_EUR_ONLY,valores_solo_EUR,pdfplumber,oc,Ongoing_Charge_Recurrent,,,0.021,REF_ONLY,LOW
DE0008476532,WARN_EUR_ONLY,valores_solo_EUR,pdfplumber,oc,Ongoing_Charge_Recurrent,,,0.016,REF_ONLY,LOW
DE0008490897,WARN_EUR_ONLY,valores_solo_EUR,pdfplumber,oc,Ongoing_Charge_Recurrent,,,0.027,REF_ONLY,LOW
DE0008490962,WARN_EUR_ONLY,valores_solo_EUR,pdfplumber,oc,Ongoing_Charge_Recurrent,,,0.027,REF_ONLY,LOW
DE0009769703,WARN_EUR_ONLY,valores_solo_EUR,pdfplumber,oc,Ongoing_Charge_Recurrent,,,0.013,REF_ONLY,LOW
DE0009769729,WARN_EUR_ONLY,valores_solo_EUR,pdfplumber,oc,Ongoing_Charge_Recurrent,,,0.024,REF_ONLY,LOW
DE0009769851,WARN_EUR_ONLY,valores_solo_EUR,pdfplumber,oc,Ongoing_Charge_Recurrent,,,0.018,REF_ONLY,LOW
DE0009769869,WARN_EUR_ONLY,valores_solo_EUR,pdfplumber,oc,Ongoing_Charge_Recurrent,,,0.03,REF_ONLY,LOW
DE0009769976,WARN_EUR_ONLY,valores_solo_EUR,pdfplumber,oc,Ongoing_Charge_Recurrent,,,0.024,REF_ONLY,LOW
DE0009773010,WARN_EUR_ONLY,valores_solo_EUR,pdfplumber,oc,Ongoing_Charge_Recurrent,,,0.02,REF_ONLY,LOW
DE0009848077,WARN_EUR_ONLY,valores_solo_EUR,pdfplumber,oc,Ongoing_Charge_Recurrent,,,0.0018,REF_ONLY,LOW
DE0009848119,WARN_EUR_ONLY,valores_solo_EUR,pdfplumber,oc,Ongoing_Charge_Recurrent,,,0.026,REF_ONLY,LOW
DE000DWS17J0,WARN_EUR_ONLY,valores_solo_EUR,pdfplumber,oc,Ongoing_Charge_Recurrent,,,0.027,REF_ONLY,LOW
DE000DWS18N0,WARN_EUR_ONLY,valores_solo_EUR,pdfplumber,oc,Ongoing_Charge_Recurrent,,,0.026,REF_ONLY,LOW
DE000DWS18Q3,WARN_EUR_ONLY,valores_solo_EUR,pdfplumber,oc,Ongoing_Charge_Recurrent,,,0.009,REF_ONLY,LOW
DE000DWS1U90,WARN_EUR_ONLY,valores_solo_EUR,pdfplumber,oc,Ongoing_Charge_Recurrent,,,0.026,REF_ONLY,LOW
DE000DWS1UL0,WARN_EUR_ONLY,valores_solo_EUR,pdfplumber,oc,Ongoing_Charge_Recurrent,,,0.016,REF_ONLY,LOW
DE000DWS1UN6,WARN_EUR_ONLY,valores_solo_EUR,pdfplumber,oc,Ongoing_Charge_Recurrent,,,0.005,REF_ONLY,LOW
DE000DWS1VB9,WARN_EUR_ONLY,valores_solo_EUR,pdfplumber,oc,Ongoing_Charge_Recurrent,,,0.002,REF_ONLY,LOW
