ISIN,verdict,component,db_column,serializer_raw,serializer_norm,db_reference_value,diff_bp,quality_actual
DE0005152441,WARN_EUR_ONLY,entry,Entry_Fee_Pct,Hasta 500 EUR,0.05,0.0,500.0,LOW
DE0005152482,WARN_EUR_ONLY,entry,Entry_Fee_Pct,Hasta 500 EUR,0.05,0.0,500.0,LOW
DE0005318406,WARN_EUR_ONLY,entry,Entry_Fee_Pct,Hasta 300 EUR,0.03,0.0,300.0,LOW
DE0008474024,WARN_EUR_ONLY,entry,Entry_Fee_Pct,Hasta 500 EUR,0.05,0.0,500.0,LOW
DE0008474263,WARN_EUR_ONLY,entry,Entry_Fee_Pct,Hasta 300 EUR,0.03,0.0,300.0,LOW
DE0008476532,WARN_EUR_ONLY,entry,Entry_Fee_Pct,Hasta 250 EUR,0.025,0.0,250.0,LOW
DE0008490897,WARN_EUR_ONLY,entry,Entry_Fee_Pct,Hasta 500 EUR,0.05,0.0,500.0,LOW
DE0008490962,WARN_EUR_ONLY,entry,Entry_Fee_Pct,Hasta 500 EUR,0.05,0.0,500.0,LOW
DE0009769729,WARN_EUR_ONLY,entry,Entry_Fee_Pct,Hasta 400 EUR,0.04,0.0,400.0,LOW
DE0009769869,WARN_EUR_ONLY,entry,Entry_Fee_Pct,Hasta 500 EUR,0.05,0.0,500.0,LOW
DE0009769976,WARN_EUR_ONLY,entry,Entry_Fee_Pct,Hasta 500 EUR,0.05,0.0,500.0,LOW
DE0009848119,WARN_EUR_ONLY,entry,Entry_Fee_Pct,Hasta 500 EUR,0.05,0.0,500.0,LOW
DE000DWS17J0,WARN_EUR_ONLY,entry,Entry_Fee_Pct,Hasta 500 EUR,0.05,0.0,500.0,LOW
DE000DWS18N0,WARN_EUR_ONLY,entry,Entry_Fee_Pct,Hasta 500 EUR,0.05,0.0,500.0,LOW
DE000DWS1U90,WARN_EUR_ONLY,entry,Entry_Fee_Pct,Hasta 500 EUR,0.05,0.0,500.0,LOW
DE000DWS1UL0,WARN_EUR_ONLY,entry,Entry_Fee_Pct,Hasta 250 EUR,0.025,0.0,250.0,LOW
DE000DWS22Q5,WARN_EUR_ONLY,entry,Entry_Fee_Pct,Hasta 300 EUR,0.03,0.0,300.0,LOW
DE000DWS29E6,WARN_EUR_ONLY,entry,Entry_Fee_Pct,Hasta 500 EUR,0.05,0.0,500.0,LOW
DE000DWS29J5,WARN_EUR_ONLY,entry,Entry_Fee_Pct,Hasta 250 EUR,0.025,0.0,250.0,LOW
DE000DWS2EA5,WARN_EUR_ONLY,entry,Entry_Fee_Pct,Hasta 500 EUR,0.05,0.0,500.0,LOW
DE000DWS2XX7,WARN_EUR_ONLY,entry,Entry_Fee_Pct,Hasta 500 EUR,0.05,0.0,500.0,LOW
DE000DWS3LN1,WARN_EUR_ONLY,entry,Entry_Fee_Pct,Hasta 500 EUR,0.05,0.0,500.0,LOW
ES0126547035,OK_HEURISTIC,oc,Ongoing_Charge_Recurrent,0.76%,0.0076,0.0152,76.0,LOW
ES0132214034,OK_HEURISTIC,oc,Ongoing_Charge_Recurrent,1.49%,0.0149,0.0298,149.0,LOW
ES0155598008,OK_HEURISTIC,oc,Ongoing_Charge_Recurrent,0.25%,0.0025,0.005,25.0,LOW
ES0155598032,OK_HEURISTIC,oc,Ongoing_Charge_Recurrent,0.40%,0.004,0.008,40.0,LOW
FR0000447823,WARN_NO_OC,exit,Exit_Fee_Pct,"0,06 %",0.0006,0.0,6.0,LOW
FR0010027623,WARN_EUR_ONLY,entry,Entry_Fee_Pct,40 EUR,0.004,0.0,40.0,LOW
FR0010664052,WARN_EUR_ONLY,entry,Entry_Fee_Pct,300 EUR,0.03,0.0,300.0,HIGH
FR0010664086,WARN_EUR_ONLY,entry,Entry_Fee_Pct,300 EUR,0.03,0.0,300.0,HIGH
FR0011034495,OK_HEURISTIC,oc,Ongoing_Charge_Recurrent,"1,26%",0.0126,0.022,94.0,HIGH
FR0011034495,OK_HEURISTIC,entry,Entry_Fee_Pct,"1,00%",0.01,0.0,100.0,HIGH
FR0013460920,OK_HEURISTIC,oc,Ongoing_Charge_Recurrent,"0,86%",0.0086,0.018,94.0,HIGH
FR0013460920,OK_HEURISTIC,entry,Entry_Fee_Pct,"1,00%",0.01,0.0,100.0,HIGH
FR0013460961,OK_HEURISTIC,oc,Ongoing_Charge_Recurrent,"0,86%",0.0086,0.018,94.0,HIGH
FR0013460961,OK_HEURISTIC,entry,Entry_Fee_Pct,"1,00%",0.01,0.0,100.0,HIGH
FR0014008W22,OK_HEURISTIC,oc,Ongoing_Charge_Recurrent,"1,20%",0.012,0.026,140.0,MEDIUM_EUR
FR0014008W22,OK_HEURISTIC,entry,Entry_Fee_Pct,"4,00%",0.04,0.0,400.0,MEDIUM_EUR
FR0014008W55,OK_HEURISTIC,oc,Ongoing_Charge_Recurrent,"1,20%",0.012,0.026,140.0,MEDIUM_EUR
FR0014008W55,OK_HEURISTIC,entry,Entry_Fee_Pct,"4,00%",0.04,0.0,400.0,MEDIUM_EUR
FR0014008WH6,OK_HEURISTIC,oc,Ongoing_Charge_Recurrent,"1,60%",0.016,0.03,140.0,MEDIUM_EUR
FR0014008WH6,OK_HEURISTIC,entry,Entry_Fee_Pct,"4,00%",0.04,0.0,400.0,MEDIUM_EUR
FR001400JGB5,OK_HEURISTIC,oc,Ongoing_Charge_Recurrent,"0,95%",0.0095,0.021,115.0,MEDIUM_EUR
FR001400JGB5,OK_HEURISTIC,entry,Entry_Fee_Pct,"4,00%",0.04,0.0,400.0,MEDIUM_EUR
FR001400JGE9,OK_HEURISTIC,oc,Ongoing_Charge_Recurrent,"0,95%",0.0095,0.021,115.0,MEDIUM_EUR
FR001400JGE9,OK_HEURISTIC,entry,Entry_Fee_Pct,"4,00%",0.04,0.0,400.0,MEDIUM_EUR
FR001400JGG4,OK_HEURISTIC,oc,Ongoing_Charge_Recurrent,"0,45%",0.0045,0.016,115.0,MEDIUM_EUR
FR001400JGG4,OK_HEURISTIC,entry,Entry_Fee_Pct,"4,00%",0.04,0.0,400.0,MEDIUM_EUR
FR001400JGI0,OK_HEURISTIC,oc,Ongoing_Charge_Recurrent,"0,45%",0.0045,0.016,115.0,MEDIUM_EUR
FR001400JGI0,OK_HEURISTIC,entry,Entry_Fee_Pct,"4,00%",0.04,0.0,400.0,MEDIUM_EUR
FR001400RZ04,WARN_EUR_ONLY,entry,Entry_Fee_Pct,300 EUR,0.03,0.0,300.0,HIGH
FR001400S680,OK_HEURISTIC,oc,Ongoing_Charge_Recurrent,"1,11%",0.0111,0.023,119.0,MEDIUM_EUR
FR001400S680,OK_HEURISTIC,entry,Entry_Fee_Pct,"4,00%",0.04,0.0,400.0,MEDIUM_EUR
IE0002458671,OK_HEURISTIC,oc,Ongoing_Charge_Recurrent,"0,84%",0.0084,0.0095,11.0,LOW
IE0002459539,OK_HEURISTIC,oc,Ongoing_Charge_Recurrent,"0,55%",0.0055,0.018,125.0,LOW
IE0002460198,OK_HEURISTIC,oc,Ongoing_Charge_Recurrent,"0,49%",0.0049,0.023,181.0,LOW
IE0002461055,OK_HEURISTIC,oc,Ongoing_Charge_Recurrent,"0,49%",0.0049,0.023,181.0,LOW
IE0005300136,OK_HEURISTIC,oc,Ongoing_Charge_Recurrent,"0,85%",0.0085,0.026,175.0,LOW
IE0005300243,OK_HEURISTIC,oc,Ongoing_Charge_Recurrent,"0,85%",0.0085,0.026,175.0,LOW
IE0005300912,OK_HEURISTIC,oc,Ongoing_Charge_Recurrent,"0,84%",0.0084,0.027,186.0,LOW
IE0005302959,OK_HEURISTIC,oc,Ongoing_Charge_Recurrent,"0,84%",0.0084,0.027,186.0,LOW
IE0005304773,OK_HEURISTIC,oc,Ongoing_Charge_Recurrent,"0,81%",0.0081,0.026,179.0,LOW
IE000JXUTJG7,OK_HEURISTIC,oc,Ongoing_Charge_Recurrent,"0,84%",0.0084,0.0095,11.0,LOW
IE000NGCG706,OK_HEURISTIC,oc,Ongoing_Charge_Recurrent,"0,59%",0.0059,0.024,181.0,LOW
IE000XOK9474,OK_HEURISTIC,oc,Ongoing_Charge_Recurrent,"1,49%",0.0149,0.033,181.0,LOW
IE0032568887,OK_HEURISTIC,oc,Ongoing_Charge_Recurrent,"0,49%",0.0049,0.024,191.0,LOW
IE0032593158,OK_HEURISTIC,oc,Ongoing_Charge_Recurrent,"0,90%",0.009,0.004,50.0,NONE
IE0032875985,OK_HEURISTIC,oc,Ongoing_Charge_Recurrent,"0,49%",0.0049,0.024,191.0,LOW
IE0032876397,OK_HEURISTIC,oc,Ongoing_Charge_Recurrent,"0,49%",0.0049,0.023,181.0,LOW
IE0033386453,OK_HEURISTIC,oc,Ongoing_Charge_Recurrent,"0,49%",0.0049,0.023,181.0,LOW
IE0034085260,OK_HEURISTIC,oc,Ongoing_Charge_Recurrent,"0,49%",0.0049,0.023,181.0,LOW
IE00B0105X63,OK_HEURISTIC,oc,Ongoing_Charge_Recurrent,"0,85%",0.0085,0.0036,49.0,NONE
IE00B0122Y20,OK_HEURISTIC,oc,Ongoing_Charge_Recurrent,"0,81%",0.0081,0.058,499.0,HIGH
IE00B01FHV31,WARN_EUR_ONLY,entry,Entry_Fee_Pct,Hasta 500 EUR,0.05,0.0,500.0,HIGH
IE00B05K1Q71,OK_HEURISTIC,oc,Ongoing_Charge_Recurrent,"0,84%",0.0084,0.0016,68.0,NONE
IE00B05QM511,OK_HEURISTIC,oc,Ongoing_Charge_Recurrent,"0,84%",0.0084,0.027,186.0,LOW
IE00B063CF11,OK_HEURISTIC,oc,Ongoing_Charge_Recurrent,"0,84%",0.0084,0.003,54.0,NONE
IE00B06CFP96,WARN_EUR_ONLY,entry,Entry_Fee_Pct,Hasta 500 EUR,0.05,0.0,500.0,HIGH
IE00B073NJ12,OK_HEURISTIC,oc,Ongoing_Charge_Recurrent,"0,49%",0.0049,0.024,191.0,LOW
IE00B0M2Y900,OK_HEURISTIC,oc,Ongoing_Charge_Recurrent,"1,40%",0.014,0.032,180.0,LOW
IE00B0MD9M11,OK_HEURISTIC,oc,Ongoing_Charge_Recurrent,"1,39%",0.0139,0.032,181.0,LOW
IE00B0V9SY54,OK_HEURISTIC,oc,Ongoing_Charge_Recurrent,"0,49%",0.0049,0.024,191.0,LOW
IE00B11XYY66,OK_HEURISTIC,oc,Ongoing_Charge_Recurrent,"1,36%",0.0136,0.031,174.0,LOW
IE00B11XZ103,OK_HEURISTIC,oc,Ongoing_Charge_Recurrent,"1,39%",0.0139,0.032,181.0,LOW
IE00B11XZ210,OK_HEURISTIC,oc,Ongoing_Charge_Recurrent,"1,39%",0.0139,0.032,181.0,LOW
IE00B11XZ327,OK_HEURISTIC,oc,Ongoing_Charge_Recurrent,"1,45%",0.0145,0.034,195.0,LOW
IE00B11XZ434,OK_HEURISTIC,oc,Ongoing_Charge_Recurrent,"1,39%",0.0139,0.032,181.0,LOW
IE00B11XZ764,OK_HEURISTIC,oc,Ongoing_Charge_Recurrent,"1,45%",0.0145,0.033,185.0,LOW
IE00B11XZ988,OK_HEURISTIC,oc,Ongoing_Charge_Recurrent,"1,40%",0.014,0.032,180.0,LOW
IE00B11XZB05,OK_HEURISTIC,oc,Ongoing_Charge_Recurrent,"1,40%",0.014,0.032,180.0,LOW
