ISIN,text_len,has_cat1_signal,has_cat2_costes,has_cat2_politica,has_cat3_escenarios,n_pct_values,n_fee_lines,entry_fee_null,exit_fee_null,oc_null,acc_policy_null,hedging_null,ch_null,cat_max,processing_error,is_sospechoso,has_pct_flotante,kid_format_inferred,priips_signals_count,ucits_signals_count,eur_near_costs_count,entry_fee_suspect,entry_fee_suspect_signals,exit_fee_suspect,exit_fee_suspect_signals,oc_aci_gap_suspect
DE0005152441,16353,1,1,1,1,17,3,0,0,0,0,0,0,3,,0,1,PRIIPS_KID,5,0,2,1,1,0,0,0
DE0005152482,15160,1,1,1,1,17,4,0,0,0,0,0,0,3,,0,1,PRIIPS_KID,5,0,2,1,2,1,1,0
DE0005318406,15201,1,1,1,1,17,4,0,0,0,0,1,1,3,,0,1,PRIIPS_KID,5,0,2,1,2,0,0,0
DE0008474024,16501,1,1,1,1,17,3,0,0,0,0,0,0,3,,0,1,PRIIPS_KID,5,0,2,1,1,0,0,0
DE0008474149,15246,1,1,1,1,15,3,0,0,0,0,0,0,3,,0,1,PRIIPS_KID,5,0,2,0,0,0,0,1
DE0008474263,15114,1,1,1,1,17,4,0,0,0,0,0,0,3,,0,1,PRIIPS_KID,5,0,2,1,2,1,1,0
DE0008476532,15947,1,1,1,1,17,3,0,0,0,0,0,0,3,,0,1,PRIIPS_KID,5,0,2,1,1,0,0,0
DE0008490897,15968,1,1,1,1,17,3,0,0,0,0,1,1,3,,0,1,PRIIPS_KID,5,0,2,1,1,0,0,0
DE0008490962,16325,1,1,1,1,17,3,0,0,0,0,0,0,3,,0,1,PRIIPS_KID,5,0,2,1,1,0,0,0
DE0009769703,16302,1,1,1,1,16,3,0,0,0,0,0,0,3,,0,1,PRIIPS_KID,5,0,2,0,0,0,0,1
DE0009769729,16708,1,1,1,1,17,3,0,0,0,0,0,0,3,,0,1,PRIIPS_KID,5,0,2,1,1,0,0,0
DE0009769851,14908,1,1,1,1,15,3,0,0,0,0,0,0,3,,0,1,PRIIPS_KID,5,0,2,0,0,0,0,1
