ISIN,Source,n_pages_total,n_pages_single,n_pages_two_col,n_pages_mixed,n_pages_no_text,has_two_col,layout_signature,heuristica,error
LU1854107221,reload_download,3,2,1,0,0,1,"S,S,T",dla_extractor.classify_page_layout (L1+L2),
LU0049842692,reload_download,3,0,3,0,0,1,"T,T,T",dla_extractor.classify_page_layout (L1+L2),
FR0011408764,reload_download,3,3,0,0,0,0,"S,S,S",dla_extractor.classify_page_layout (L1+L2),
LU2330520359,reload_download,3,1,2,0,0,1,"S,T,T",dla_extractor.classify_page_layout (L1+L2),
LU0255977455,reload_download,3,3,0,0,0,0,"S,S,S",dla_extractor.classify_page_layout (L1+L2),
LU0219440335,reload_download,3,2,1,0,0,1,"S,S,T",dla_extractor.classify_page_layout (L1+L2),
LU0188151335,reload_download,3,2,1,0,0,1,"T,S,S",dla_extractor.classify_page_layout (L1+L2),
LU0108066076,reload_download,3,0,3,0,0,1,"T,T,T",dla_extractor.classify_page_layout (L1+L2),
LU2298464004,reload_download,3,2,1,0,0,1,"S,S,T",dla_extractor.classify_page_layout (L1+L2),
IE00BZ4D7085,reload_download,3,0,3,0,0,1,"T,T,T",dla_extractor.classify_page_layout (L1+L2),
LU1932912527,reload_download,3,2,1,0,0,1,"S,T,S",dla_extractor.classify_page_layout (L1+L2),
LU2330519427,reload_download,3,1,2,0,0,1,"S,T,T",dla_extractor.classify_page_layout (L1+L2),
LU1307988029,reload_download,3,2,1,0,0,1,"S,S,T",dla_extractor.classify_page_layout (L1+L2),
IE00BFRSYK98,reload_download,3,1,2,0,0,1,"T,S,T",dla_extractor.classify_page_layout (L1+L2),
LU1663931597,reload_download,3,2,1,0,0,1,"S,T,S",dla_extractor.classify_page_layout (L1+L2),
LU0683601024,reload_download,3,1,2,0,0,1,"T,T,S",dla_extractor.classify_page_layout (L1+L2),
FR001400JGB5,reload_download,3,2,1,0,0,1,"S,T,S",dla_extractor.classify_page_layout (L1+L2),
FR0014008W22,reload_download,3,2,1,0,0,1,"S,T,S",dla_extractor.classify_page_layout (L1+L2),
IE00BL6KD459,reload_download,3,2,1,0,0,1,"S,S,T",dla_extractor.classify_page_layout (L1+L2),
LU0177592218,reload_download,3,0,3,0,0,1,"T,T,T",dla_extractor.classify_page_layout (L1+L2),
LU0205350837,reload_download,3,3,0,0,0,0,"S,S,S",dla_extractor.classify_page_layout (L1+L2),
LU1084165304,reload_download,3,1,2,0,0,1,"T,T,S",dla_extractor.classify_page_layout (L1+L2),
LU1670722674,reload_download,3,2,1,0,0,1,"S,S,T",dla_extractor.classify_page_layout (L1+L2),
FR0013278702,reload_download,3,2,1,0,0,1,"T,S,S",dla_extractor.classify_page_layout (L1+L2),
LU1458464713,reload_download,3,0,3,0,0,1,"T,T,T",dla_extractor.classify_page_layout (L1+L2),
LU0162626096,reload_download,3,0,3,0,0,1,"T,T,T",dla_extractor.classify_page_layout (L1+L2),
LU2132883344,reload_download,3,1,2,0,0,1,"S,T,T",dla_extractor.classify_page_layout (L1+L2),
LU1868536878,reload_download,3,2,1,0,0,1,"S,T,S",dla_extractor.classify_page_layout (L1+L2),
LU2066957221,reload_download,3,0,3,0,0,1,"T,T,T",dla_extractor.classify_page_layout (L1+L2),
LU1307987567,reload_download,3,2,1,0,0,1,"S,S,T",dla_extractor.classify_page_layout (L1+L2),
LU0671501129,reload_download,3,0,3,0,0,1,"T,T,T",dla_extractor.classify_page_layout (L1+L2),
LU0180781477,reload_download,3,0,3,0,0,1,"T,T,T",dla_extractor.classify_page_layout (L1+L2),
LU0827877639,reload_download,3,2,1,0,0,1,"S,S,T",dla_extractor.classify_page_layout (L1+L2),
LU1663875406,reload_download,3,1,2,0,0,1,"S,T,T",dla_extractor.classify_page_layout (L1+L2),
LU0256331488,reload_download,3,0,3,0,0,1,"T,T,T",dla_extractor.classify_page_layout (L1+L2),
DE000DWS24G2,reload_download,3,2,1,0,0,1,"S,T,S",dla_extractor.classify_page_layout (L1+L2),
LU2540616898,reload_download,3,2,1,0,0,1,"S,T,S",dla_extractor.classify_page_layout (L1+L2),
LU0119753308,reload_download,3,1,2,0,0,1,"T,S,T",dla_extractor.classify_page_layout (L1+L2),
LU2041044251,reload_download,3,2,1,0,0,1,"S,S,T",dla_extractor.classify_page_layout (L1+L2),
LU0687944396,reload_download,3,0,3,0,0,1,"T,T,T",dla_extractor.classify_page_layout (L1+L2),
LU0352312853,reload_download,3,0,3,0,0,1,"T,T,T",dla_extractor.classify_page_layout (L1+L2),
LU0256065821,reload_download,3,1,2,0,0,1,"T,T,S",dla_extractor.classify_page_layout (L1+L2),
